id,title,body,labels,milestone
E7-F1-I2,E7-F1-I2: Build general settings UI,"### Summary
Provide admin UI to manage global site settings, media, and localization.

### Scope
- [ ] Design form covering site metadata and locale
- [ ] Integrate media uploads for logo and favicon
- [ ] Propagate changes across frontend immediately

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E7-F1-I1
",epic:SiteSettingsConfiguration;type:Frontend;priority:P1;area:Settings,Week 2
E7-F1-I3,E7-F1-I3: Develop menu management interface,"### Summary
Create menu builder UI supporting nested navigation with validation and preview.

### Scope
- [ ] Implement nested drag-and-drop for menu items
- [ ] Validate depth and prevent circular references
- [ ] Render live preview of menu structure

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E7-F1-I1
",epic:SiteSettingsConfiguration;type:Frontend;priority:P1;area:Navigation,Week 2
E7-F1-I4,E7-F1-I4: Enable homepage selection from pages,"### Summary
Allow admins to select published pages for homepage and blog listing defaults.

### Scope
- [ ] Add settings fields for homepage and blog selection
- [ ] Validate selections are published and active
- [ ] Surface selected pages in frontend routing

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E7-F1-I1, E2-F1-I1
",epic:SiteSettingsConfiguration;type:Backend;priority:P1;area:Settings,Week 2
E7-F1-I5,E7-F1-I5: Create announcement banner & footer editor,"### Summary
Provide rich text editors for announcement banner and footer content with scheduling.

### Scope
- [ ] Add rich text inputs with sanitization
- [ ] Support banner scheduling windows
- [ ] Preview banner and footer before saving

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E7-F1-I2
",epic:SiteSettingsConfiguration;type:Frontend;priority:P2;area:Settings,Week 3
E7-F1-I6,E7-F1-I6: Implement theme selection toggles,"### Summary
Add light/dark theme toggle in settings with persisted user preference.

### Scope
- [ ] Expose theme selection controls in admin UI
- [ ] Persist theme choice and apply on frontend
- [ ] Test theme preference persistence

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E7-F1-I2
",epic:SiteSettingsConfiguration;type:Frontend;priority:P2;area:Settings,Week 3
E7-F1-I7,E7-F1-I7: Add settings cache & invalidation,"### Summary
Cache settings values with tagged invalidation upon updates.

### Scope
- [ ] Implement cache layer for settings repository
- [ ] Clear cache on update via observer
- [ ] Verify cached values refresh in tests

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E7-F1-I1, E11-F1-I7
",epic:SiteSettingsConfiguration;type:Backend;priority:P1;area:Caching,Week 3
E7-F1-I8,E7-F1-I8: Build settings backup & restore,"### Summary
Enable exporting and importing site settings via JSON with auditing.

### Scope
- [ ] Create JSON export with metadata
- [ ] Implement validated import with dry-run option
- [ ] Log export and import actions in audit trail

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E7-F1-I1
",epic:SiteSettingsConfiguration;type:Backend;priority:P2;area:Settings,Week 4
E8-F1-I1,E8-F1-I1: Configure Sanctum authentication & token scopes,"### Summary
Install Sanctum and define token scopes with management interfaces for admins and editors.

### Scope
- [ ] Install Sanctum and publish configuration
- [ ] Define token scopes and management endpoints
- [ ] Document token usage and security guidance

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E11-F1-I1, E1-F1-I1
",epic:ApiHeadlessMode;type:Backend;priority:P0;area:Api,Week 1
E8-F1-I2,E8-F1-I2: Deliver public content API with filtering,"### Summary
Expose public content endpoints with pagination, sorting, and taxonomy filters.

### Scope
- [ ] Build endpoints for published posts and pages
- [ ] Add pagination, sorting, and filter capabilities
- [ ] Apply IP-based rate limiting policies

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E8-F1-I1, E2-F1-I1
",epic:ApiHeadlessMode;type:Backend;priority:P1;area:Api,Week 2
E8-F1-I3,E8-F1-I3: Expose authenticated CRUD API endpoints,"### Summary
Provide authenticated CRUD APIs for content, taxonomy, and media following policies.

### Scope
- [ ] Implement CRUD endpoints respecting policies
- [ ] Validate requests returning JSON:API errors
- [ ] Test create/update/delete flows per role

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E8-F1-I1, E1-F1-I2, E2-F1-I1
",epic:ApiHeadlessMode;type:Backend;priority:P1;area:Api,Week 3
E8-F1-I4,E8-F1-I4: Enforce JSON:API serialization layer,"### Summary
Ensure API responses conform to JSON:API specification including pagination metadata.

### Scope
- [ ] Create resources/transformers for JSON:API
- [ ] Align pagination metadata with spec
- [ ] Add contract tests validating responses

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E8-F1-I2
",epic:ApiHeadlessMode;type:Backend;priority:P1;area:Api,Week 2
E8-F1-I5,E8-F1-I5: Publish OpenAPI documentation,"### Summary
Generate and publish OpenAPI documentation for public and authenticated APIs.

### Scope
- [ ] Generate OpenAPI spec from annotations/tests
- [ ] Serve documentation at /api/docs
- [ ] Add CI validation for spec integrity

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E8-F1-I2, E8-F1-I3
",epic:ApiHeadlessMode;type:Documentation;priority:P2;area:Api,Week 3
E8-F1-I6,E8-F1-I6: Implement webhook triggers for publish/update,"### Summary
Fire webhooks on content publish/update events with retry handling and admin UI documentation.

### Scope
- [ ] Emit webhook events with signing secret
- [ ] Implement retry/backoff with logging
- [ ] Document webhook configuration in admin UI

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E5-F1-I3, E11-F1-I3, E8-F1-I3
",epic:ApiHeadlessMode;type:Backend;priority:P2;area:Integration,Week 4
E9-F1-I1,E9-F1-I1: Validate CSRF/XSS safeguards & sanitization,"### Summary
Confirm middleware and sanitization prevent CSRF/XSS attacks across inputs.

### Scope
- [ ] Audit middleware stack for CSRF/XSS coverage
- [ ] Integrate HTML sanitization for rich text
- [ ] Write tests injecting malicious payloads

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E11-F1-I1
",epic:SecurityCompliance;type:Backend;priority:P0;area:Security,Week 1
E9-F1-I2,E9-F1-I2: Enforce secure file upload constraints,"### Summary
Enforce strict MIME and size validation with protection against executable uploads.

### Scope
- [ ] Align upload constraints with security policy
- [ ] Prevent executable uploads through scanning
- [ ] Test invalid upload rejection paths

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E3-F1-I2
",epic:SecurityCompliance;type:Backend;priority:P1;area:Security,Week 2
E9-F1-I3,E9-F1-I3: Audit permission checks across mutations,"### Summary
Verify all mutation endpoints enforce authorization and configure static analysis guardrails.

### Scope
- [ ] Review mutation endpoints for authorize calls
- [ ] Configure static analysis to flag missing checks
- [ ] Document resolved coverage gaps

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E1-F1-I2, E11-F1-I5
",epic:SecurityCompliance;type:Backend;priority:P1;area:Security,Week 2
E9-F1-I4,E9-F1-I4: Configure login & API rate limiting,"### Summary
Set throttling rules for login attempts and public API usage with monitoring.

### Scope
- [ ] Define throttle limits for login and API routes
- [ ] Log lockout and throttle events
- [ ] Test rapid requests for proper throttling

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E1-F1-I1, E8-F1-I2
",epic:SecurityCompliance;type:Backend;priority:P1;area:Security,Week 2
E9-F1-I5,E9-F1-I5: Verify password hashing configuration,"### Summary
Ensure secure password hashing configuration with automatic upgrades for legacy hashes.

### Scope
- [ ] Confirm bcrypt/argon2 settings meet policy
- [ ] Enable automatic rehash on successful login
- [ ] Document hashing policy for developers

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E1-F1-I1
",epic:SecurityCompliance;type:Backend;priority:P1;area:Security,Week 1
E9-F1-I6,E9-F1-I6: Schedule security scans & dependency audits,"### Summary
Automate dependency vulnerability scans and enforce failure on high severity findings.

### Scope
- [ ] Configure Dependabot/composer audit schedules
- [ ] Integrate CI failure on high severity issues
- [ ] Document reporting cadence and ownership

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E10-F1-I1
",epic:SecurityCompliance;type:Devops;priority:P2;area:Security,Week 3
E9-F1-I7,E9-F1-I7: Implement access logging for admin actions,"### Summary
Log admin access events with filtering dashboard per compliance policy.

### Scope
- [ ] Capture admin route access with metadata
- [ ] Build report filters by user, action, date
- [ ] Retain logs per compliance requirements

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E1-F1-I6, E9-F1-I1
",epic:SecurityCompliance;type:Backend;priority:P2;area:Security,Week 3
E10-F1-I1,E10-F1-I1: Set up CI/CD pipeline,"### Summary
Establish CI pipeline running linters, tests, and publishing coverage artifacts.

### Scope
- [ ] Create GitHub Actions workflow for install/test/lint
- [ ] Trigger pipeline on PRs and main merges
- [ ] Document status badge and artifact retention

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E11-F1-I1
",epic:DevopsTestingQualityAssurance;type:Devops;priority:P0;area:CiCd,Week 1
E10-F1-I2,E10-F1-I2: Configure test coverage enforcement,"### Summary
Enable PHPUnit and Pest coverage reporting with CI coverage gates.

### Scope
- [ ] Set up coverage reporting for PHPUnit and Pest
- [ ] Fail CI when coverage drops below threshold
- [ ] Document local execution steps for developers

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E10-F1-I1
",epic:DevopsTestingQualityAssurance;type:Qa;priority:P1;area:Testing,Week 2
E10-F1-I3,E10-F1-I3: Integrate Larastan & PHP CS Fixer,"### Summary
Add Larastan static analysis and PHP CS Fixer formatting enforcement to CI.

### Scope
- [ ] Configure Larastan level and baseline
- [ ] Define PHP CS Fixer ruleset and cache
- [ ] Ensure CI fails on analysis or formatting issues

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E10-F1-I1
",epic:DevopsTestingQualityAssurance;type:Devops;priority:P1;area:StaticAnalysis,Week 1
E10-F1-I4,E10-F1-I4: Deploy Telescope & log monitoring,"### Summary
Install Laravel Telescope with production safeguards and integrate log monitoring.

### Scope
- [ ] Install Telescope with restricted access
- [ ] Forward logs to monitoring solution
- [ ] Publish runbook for access and alert thresholds

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E11-F1-I4
",epic:DevopsTestingQualityAssurance;type:Devops;priority:P2;area:Monitoring,Week 3
E10-F1-I5,E10-F1-I5: Publish environment configuration templates,"### Summary
Provide annotated environment templates for development, staging, and production.

### Scope
- [ ] Create .env templates with annotations
- [ ] Document secure handling of sensitive keys
- [ ] Update README with setup guidance

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E10-F1-I1
",epic:DevopsTestingQualityAssurance;type:Documentation;priority:P1;area:Configuration,Week 1
E10-F1-I6,E10-F1-I6: Author migration seeding & rollback scripts,"### Summary
Create seeders and rollback scripts for roles, content, taxonomy, and settings.

### Scope
- [ ] Develop seeders for baseline data
- [ ] Test rollback scripts for clean downgrades
- [ ] Document artisan commands for seed/rollback

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E2-F1-I1, E7-F1-I1
",epic:DevopsTestingQualityAssurance;type:Backend;priority:P1;area:Database,Week 2
E10-F1-I7,E10-F1-I7: Document manual QA checklist & staging flow,"### Summary
Draft manual QA checklist covering key domains and document staging approval workflow.

### Scope
- [ ] Outline manual QA scenarios across modules
- [ ] Define staging approval workflow and sign-offs
- [ ] Publish checklist in repository docs

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E10-F1-I2
",epic:DevopsTestingQualityAssurance;type:Documentation;priority:P2;area:Qa,Week 3
E11-F1-I1,E11-F1-I1: Establish modular directory structure,"### Summary
Organize project into domain-driven directory structure with documentation.

### Scope
- [ ] Create domain-based folders and update autoloading
- [ ] Register base service providers per module
- [ ] Publish architectural overview document

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: None
",epic:SystemArchitectureFoundations;type:Architecture;priority:P0;area:Architecture,Week 1
E11-F1-I2,E11-F1-I2: Create repository interfaces & bindings,"### Summary
Define repository interfaces with container bindings for core aggregates.

### Scope
- [ ] Draft interfaces for content, taxonomy, media, settings, users
- [ ] Provide Eloquent implementations and bindings
- [ ] Add unit tests ensuring bindings resolve

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E11-F1-I1
",epic:SystemArchitectureFoundations;type:Backend;priority:P0;area:Architecture,Week 1
E11-F1-I3,E11-F1-I3: Implement domain events for publish/workflow,"### Summary
Emit domain events for workflow actions and tie listeners to downstream behaviors.

### Scope
- [ ] Define events for submit, approve, publish, update
- [ ] Implement listeners for notifications and cache
- [ ] Test that events fire and listeners execute

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E11-F1-I1
",epic:SystemArchitectureFoundations;type:Backend;priority:P1;area:Workflow,Week 2
E11-F1-I4,E11-F1-I4: Set up service layer for media/content/taxonomy,"### Summary
Introduce service classes encapsulating business logic for media, content, and taxonomy.

### Scope
- [ ] Create service classes for media, content, taxonomy
- [ ] Inject services into controllers via DI
- [ ] Cover core service methods with tests

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E11-F1-I2
",epic:SystemArchitectureFoundations;type:Backend;priority:P1;area:Architecture,Week 2
E11-F1-I5,E11-F1-I5: Define policy scaffolding,"### Summary
Create policies for key models and register mappings in the auth service provider.

### Scope
- [ ] Author policies for content, media, taxonomy, settings
- [ ] Register policy mappings in AuthServiceProvider
- [ ] Write unit tests for critical ability checks

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E11-F1-I1
",epic:SystemArchitectureFoundations;type:Backend;priority:P1;area:Security,Week 1
E11-F1-I6,E11-F1-I6: Implement feature toggle configuration,"### Summary
Introduce configuration-driven feature flags with helper utilities and docs.

### Scope
- [ ] Create config file defining feature toggles
- [ ] Expose helper/trait for feature checks
- [ ] Document default toggle states and usage

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E11-F1-I1
",epic:SystemArchitectureFoundations;type:Backend;priority:P2;area:Architecture,Week 3
E11-F1-I7,E11-F1-I7: Design cache invalidation strategy,"### Summary
Define cache tagging strategy and integrate invalidation within service layer events.

### Scope
- [ ] Document cache tag strategy for core domains
- [ ] Integrate tag invalidation on create/update/publish
- [ ] Describe cache lifecycle in technical note

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E11-F1-I4
",epic:SystemArchitectureFoundations;type:Backend;priority:P1;area:Caching,Week 2
E11-F1-I8,E11-F1-I8: Plan localization & multi-site schema,"### Summary
Document schema and routing considerations for future localization and multi-site support.

### Scope
- [ ] Draft schema plan for locale-aware content
- [ ] Assess impact on routing, settings, media
- [ ] Prepare migration roadmap for future work

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E11-F1-I1
",epic:SystemArchitectureFoundations;type:Architecture;priority:P2;area:Internationalization,Week 3
